what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.make.ui,7.1.0.201106081058,"org.eclipse.cdt.make.editor",1314601127810
activated,editor,org.eclipse.cdt.make.ui,7.1.0.201106081058,"org.eclipse.cdt.make.editor",1314601128059
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601165164
closed,editor,org.eclipse.cdt.make.ui,7.1.0.201106081058,"org.eclipse.cdt.make.editor",1314601165165
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314601172488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601177574
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1314601285907
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.core",1314601285966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601344973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314601345097
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601350981
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314601426055
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601427153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314601433355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601443606
error,log,,,"Program is not a recognized executable.",1314601443987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601452263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601474005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601474347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601474382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601481664
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.debug",1314601481755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601485081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601620449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314601622417
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601638688
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314601647318
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314601649366
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314601657126
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314601662028
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601662671
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601662949
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601678732
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601678732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601689357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601722569
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314601724605
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314601731837
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601732352
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314601732421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601767739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601805246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601815977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601978398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314601985126
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1314602018705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602279201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1314602279334
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1314602301831
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602312039
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602312736
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602312736
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1314602315149
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314602323307
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602337640
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314602380783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1314602390379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602402168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602427182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1314602427266
