what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314598055575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598082149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598175460
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598177154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598180008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598205171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314598205322
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314598207128
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598217737
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314598219789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598223035
started,bundle,org.eclipse.cdt.launch,7.0.0.201106081058,"org.eclipse.cdt.launch",1314598227418
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1314598227424
started,bundle,org.eclipse.cdt.dsf,2.2.0.201106081058,"org.eclipse.cdt.dsf",1314598227529
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201106081058,"org.eclipse.cdt.dsf.gdb",1314598227638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598370777
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598374183
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598379428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598392439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598400259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598406992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598411871
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1314598411951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1314598411951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598453337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598470011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598476945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598479391
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1314598479458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1314598479458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598499386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598510411
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598511027
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598511711
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598512290
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598512392
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598513848
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598515852
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598523494
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598523906
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598552377
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598570899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598588379
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598588602
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598609564
